Brand,title,storage,Ram,Front Camera,Battery,Resolutions,OS,Inches,price in EGY
Honor,x7a,128,4,8,5000,720 x 1600,Android,6.8,7666
Apple,iPhone 13,128,4,12,3000,1170 x 2532,iOS,6.1,33333
Samsung,Galaxy A14,128,4,13,4000,1080 x 2408,Android,6.6,5899
Vivo,Y27,128,6,8,4000,1080 x 2388,Android,6.6,7790
iKU,S2,Less,,Not,Below,,,1.8,580
Samsung,Galaxy A24,128,8,13,4000,1080 x 2340,Android,6.5,8699
realme,C25Y,64,4,8,4000,720 x 1600 pixels,Android,6.5,4399
Apple,iPhone 11,128,4,12,3000,1792 × 828,iOS,6.1,24499
realme,C21Y,64,4,5,,,Android,6.5,4099
Samsung,Galaxy A24,128,8,13,4000,1080 x 2340,Android,6.5,8699
Xiaomi,Redmi Note 11,128,6,13,4000,1080 x 2400,Android,6.4,7777
Samsung,Galaxy A34,128,8,13,4000,1080 x 2340,Android,6.6,11499
Vivo,Y27,128,6,8,4000,1080 x 2388,Android,6.6,7790
Xiaomi,Redmi A1 Plus,32,2,5,4000,720 x 1600,Android,6.5,3275
Vivo,Y02s,32,3,5,4000,720 x 1600,Android,6.5,4090
Vivo,V27e,256,8,32,4000,1080 x 2400,Android,6.6,12990
Xiaomi,Redmi Note 11,128,4,13,4000,1080 x 2400,Android,6.4,7099
Vivo,V27e,256,8,32,4000,1080 x 2400,Android,6.6,12990
Samsung,Galaxy M12,128,4,8,4000,720 x 1600 pixels,Android,6.5,5749
Samsung,Galaxy A04s,64,4,5,4000,720 × 1600,Android,6.5,4859
Infinix,Hot 30i,128,8,8,4000,720 x 1612,Android,6.5,5899
realme,C35,128,4,8,4000,1080 x 2408,Android,6.6,6099
Samsung,Galaxy A04s,64,4,5,4000,720 × 1600,Android,6.5,4859
Oppo,Reno 8 T,256,8,32,4000,1080 x 2400,Android,6.43,10799
Oppo,A17,64,4,5,4000,720 x 1612,Android,6.5,5499
Infinix,Hot 20,128,6,8,4000,720 x 1640,Android,6.8,5799
iKU,A11,32,2,5,3000,1600 x 900,Android,6.5,3299
Xiaomi,Redmi A1 Plus,32,2,5,4000,720 x 1600,Android,6.5,3275
realme,C33,128,4,5,4000,720 x 1600,Android,6.5,5499
realme,C55,256,8,8,4000,1080 x 2400,Android,6.7,7999
Samsung,Galaxy A14,64,4,8,4000,1080 x 2400,Android,6.6,5540
Samsung,Galaxy A04s,32,3,5,4000,720 × 1600,Android,6.5,4219
Oppo,A55,128,4,16,4000,720 x 1600 pixels,Android,6.5,6149
Oppo,A55,128,4,16,4000,720 x 1600 pixels,Android,6.5,6149
iKU,A11,32,2,5,3000,1600 x 900,Android,6.5,3299
iKU,A11,32,2,5,3000,1600 x 900,Android,6.5,3299
Samsung,Galaxy A04s,32,3,5,4000,720 × 1600,Android,6.5,4219
Vivo,Y36,128,8,16,4000,1080 x 2388,Android,6.6,8790
Xiaomi,Redmi Note 12,256,8,13,4000,1080 x 2400,Android,6.7,9888
Samsung,Galaxy A34,128,8,13,4000,1080 x 2340,Android,6.6,11499
Honor,x7a,128,4,8,5000,720 x 1600,Android,6.8,7666
realme,C33,64,4,5,4000,720 x 1600,Android,6.5,5050
realme,C30s,32,2,5,4000,720 x 1600,Android,6.5,3399
realme,C30s,64,3,5,4000,720x1600,Android,6.5,3726
Xiaomi,Redmi Note 13,256,8,13,4000,1080 x 2400,Android,6.7,9888
realme,C33,64,4,5,4000,720 x 1600,Android,6.5,5050
iKU,A12,64,4,5,3000,,Android,6.5,3699
iKU,A7,16,2,5,2000,1920 x 1080,Android,6,2800
Xiaomi,Redmi 9A,32,2,5,4000,720 x 1600,Android,6.5,3120
Infinix,Smart 7,64,3,5,4000,720 x 1612,Android,6.6,3555
Infinix,Smart 7,64,3,5,4000,720 x 1612,Android,6.6,3555
Xiaomi,Poco C40,64,4,5,5000,720 x 1650,Android,6.7,5099
iKU,A7,16,2,5,2000,1920 x 1080,Android,6,2800
Oppo,A57,64,4,8,4000,720 x 1612,Android,6.5,5799
realme,10,256,8,16,4000,1080 x 2400,Android,6.4,8999
iKU,A7,16,2,5,2000,1920 x 1080,Android,6,2800
Honor,x7a,128,4,8,5000,720 x 1600,Android,6.8,7666
Xiaomi,Redmi Note 12 Pro,256,8,16,4000,1080 x 2400,Android,6.67,12199
realme,C33,128,4,5,4000,720 x 1600,Android,6.5,5499
Oppo,A17,64,4,5,4000,720 x 1612,Android,6.5,5499
iKU,A12,64,4,5,3000,,Android,6.5,3699
realme,C30s,64,3,5,4000,720x1600,Android,6.5,3726
iKU,A7,16,2,5,2000,1920 x 1080,Android,6,2800
iKU,A6,32,1,2,2000,,Android,5.4,2600
iKU,A6,32,1,2,2000,,Android,5.4,2600
Xiaomi,Redmi 9A,32,2,5,4000,720 x 1600,Android,6.5,3117
Samsung,Galaxy A34,256,8,13,4000,1080 x 2340,Android,6.6,12199
realme,9i,128,4,16,4000,1080 x 2412,Android,6.6,5886
Oppo,A77S,128,8,8,4000,720 x 1612,Android,6.5,8199
Oppo,A17K,64,3,5,4000,,Android,6.52,4999
Infinix,Smart 7,64,4,5,4000,720 x 1612,Android,6.6,3777
Infinix,Smart 7,64,4,5,4000,720 x 1612,Android,6.6,3777
Infinix,Smart 7,64,4,5,4000,720 x 1612,Android,6.6,3777
Xiaomi,Redmi 12C,64,3,5,4000,1650 × 720,Android,6.7,4499
realme,C51,128,4,5,4000,,Android,6.4,8565
realme,C53,128,6,8,4000,1080 x 2400,Android,6.7,6452
Oppo,A98,256,8,32,4000,1080 x 2400 ,Android,6.7,11569
Oppo,A77S,128,8,8,4000,720 x 1612,Android,6.5,8199
Xiaomi,Poco C40,64,4,5,5000,720 x 1650,Android,6.7,5099
iKU,A12,64,4,5,3000,,Android,6.5,3699
realme,C30s,32,2,5,4000,720 x 1600,Android,6.5,3399
realme,Narzo 50A,64,4,8,5000,720 x 1600,Android,6.5,4799
Vivo,Y22,128,4,8,4000,720 x 1612,Android,6.5,7390
realme,C33,128,4,5,4000,720 x 1600,Android,6.5,5499
Infinix,Smart 7,64,4,5,4000,720 x 1612,Android,6.6,3750
Samsung,Galaxy A34,128,8,13,4000,1080x2400,Android,6.6,11499
Huawei,nova Y91,256,8,8,6001-7000mAh,1080 x 2376,EMUI,6.9,11229
Xiaomi,Redmi Note 12 Pro Plus,256,8,16,4000,1080x2400,Android,6.6,17999
Oppo,A77,128,4,8,4000,720 x 1612,Android,6.5,6666
Huawei,nova Y91,256,8,8,6001-7000mAh,1080 x 2376,EMUI,6.9,11229
Apple,iPhone 12,128,4,12,2000,1170 x 2532,iOS,6.1,30499
Oppo,A55,64,4,16,4000,720 x 1600 pixels,Android,6.5,5999
Samsung,Galaxy A04e,32,3,5,4000,720 x 1600,Android,6.5,4199
Huawei,Nova Y61,64,4,5,4000,720X1600,EMUI,6.5,5200
Samsung,Galaxy A04,64,4,5,4000,720 x 1600,Android,6.5,5249
Samsung,Galaxy A04s,64,4,5,4000,720 × 1600,Android,6.5,4877
Apple,iPhone 13,128,4,12,3000,1170 x 2532,iOS,6.1,30299
Vivo,V27,256,8,50,4000,1080 x 2400,Android,6.9,18990
Xiaomi,Redmi Note 12 4G,128,8,13,4000,1080 x 2400,Android,6.6,9499
Vivo,Y22,128,4,8,4000,720 x 1612,Android,6.5,7390
Huawei,Nova Y90,128,8,8,5000,1080 x 2388,EMUI,6.7,8999
Xiaomi,Redmi 10A,32,2,5,4000,720 x 1600,Android,6.5,3999
Huawei,Nova Y61,64,4,5,4000,720 x 1600,EMUI,6.5,5653
Apple,iphone 14,128,6,12,3000,1170x2532,iOS,6.1,35999
Oppo,A78,256,8,8,4000,2400×1080,Android,6.4,9789
Oppo,A78,256,8,8,4000,2400×1080,Android,6.4,9789
Oppo,A78,128,8,8,4000,2400×1080,Android,6.4,8565
Xiaomi,Redmi 10C,128,4,5,4000,(720 x 1650),Android,6.4,5349
Samsung,Galaxy A04s,128,4,5,4000,720 × 1600,Android,6.5,5899
iKU,A6,32,1,2,2000,,Android,5.4,2600
Xiaomi,Redmi 12C,64,3,5,4000,1650 × 720,Android,6.7,4499
Nokia,Nokia C1 2E,16,1,5,2000,720 x 1440 pixels,Android,5.4,2099
Samsung,Galaxy A04e,32,3,5,4000,720 x 1600,Android,6.5,4199
Xiaomi,Redmi Note 12 Pro Plus,256,8,16,4000,1080x2400,Android,6.6,17999
Apple,iPhone 14 Pro Max,256,6,12,4000,1290 x 2796,iOS,6.7,54999
Samsung,Galaxy A04s,128,4,5,4000,720 × 1600,Android,6.5,5899
Nokia,C10,32,2,5,3000,720 x 1600,Android,6.5,2799
Honor,X8A,128,8,16,4000,1080 x 2388,Android,6.7,11499
Vivo,Y36,128,8,16,4000,1080 x 2388,Android,6.6,8790
realme,C55,256,8,8,4000,1080 x 2400,Android,6.7,7999
Nokia,Nokia 130,Less,Less,Unidentified,,128 x 160 pixels,,1.8,1019
Samsung,Galaxy A03,32,3,5,4000,720 x 1600,Android,6.5,4699
Samsung,Galaxy A04e,64,3,5,4000,720 x 1600,Android,6.5,4599
Nokia,G21,128,4,8,5000,720 x 1600,Android,6.5,5649
Oppo,A77,128,4,8,4000,1612 x 720,,6.5,6666
Huawei,nova 11i,128,8,16,4000,1080 x 2388,EMUI,6.8,12499
Oppo,Reno 8T,256,8,32,4000,2412x1080,Android,6.7,13699
Oppo,A78,128,8,8,4000,2400×1080,Android,6.4,8565
Xiaomi,Redmi 10A,64,3,5,4000,720 × 1600,Android,6.5,4599
Huawei,Nova Y61,64,4,5,4000,720 x 1600,EMUI,6.5,5653
Samsung,Galaxy A54,128,8,32,4000,1080 x 2340,Android,6.4,17499
Samsung,Galaxy A14,128,4,13,4000,1080 x 2408,Android,6.6,5899
Huawei,Nova Y90,128,8,8,5000,1080 x 2388,EMUI,6.7,8519
Vivo,V27,256,8,50,4000,1080 x 2400,Android,6.9,18990
realme,C33,64,4,5,4000,720 x 1600,Android,6.5,5050
Samsung,A24,128,4,13,4000,1080 x 2340,Android,6.5,7099
Honor,X8A,128,8,16,4000,1080 x 2388,Android,6.7,11499
Oppo,Reno 8T,256,8,32,4000,1080 x 2412 ,Android,6.7,14684
realme,Narzo 50i,32,2,5,4000,720 x 1600,Android,6.5,3599
Samsung,Galaxy A03,64,4,5,4000,720 x 1600,Android,6.5,5249
Samsung,Galaxy A03,64,4,5,4000,720 x 1600,Android,6.5,5249
Apple,iPhone 13,128,4,12,3000,1170 x 2532,iOS,6.1,33333
Samsung,Galaxy A04,32,3,5,4000,720 x 1600,Android,6.5,4849
Samsung,Galaxy A04e,32,3,5,4000,720 x 1600,Android,6.5,4199
Nokia,C21 Plus,64,3,5,4000,720 x 1600,Android,6.5,4799
Honor,X9A,128,8,16,5000,1080 x 2400,Android,6.67,16499
Infinix,Smart 6,32,2,5,4000,720 x 1600,Android,6.6,3349
Samsung,Galaxy A53 5G,128,8,32,4000,1080 x 2400,Android,6.5,16499
Oppo,A16K,32,3,5,4000,720 x 1600,Android,6.5,4249
Xiaomi,Redmi 10A,128,4,5,4000,720 x 1600,Android,6.53,5999
Samsung,Galaxy A04,64,4,5,4000,720 x 1600,Android,6.5,5249
Nokia,C10,32,2,5,3000,720 x 1600,Android,6.5,2799
Infinix,Smart 6,32,2,5,4000,720 x 1600,Android,6.6,3130
Nokia,C21 Plus,64,3,5,4000,720 x 1600,Android,6.5,4799
Samsung,Galaxy A34,256,8,13,4000,1080 x 2340,Android,6.6,12199
Huawei,Nova 9 SE,128,8,16,3000,1080 x 2388,Android,6.7,13255
realme,Narzo 50i,32,2,5,4000,720 x 1600,Android,6.5,3599
Samsung,Galaxy A03,32,3,5,4000,720 x 1600,Android,6.5,4699
Oppo,Reno 7,256,8,32,4000,1080 x 2400,Android,6.4,12999
Samsung,Galaxy A04e,64,3,5,4000,720 x 1600,Android,6.5,4599
iKU,A6,32,1,2,1000,720x1600,Android,5.5,2600
Samsung,Galaxy A34,256,8,13,4000,1080x2340,Android,6.6,12199
Xiaomi,Redmi Note 12 4G,128,8,13,4000,1080 x 2400,Android,6.6,8349
Samsung,Galaxy A53 5G,128,8,32,4000,1080 x 2400,Android,6.5,16499
Samsung,Galaxy A53 5G,256,8,32,4000,1080 x 2400,Android,6.5,16099
Samsung,Galaxy A03,64,4,5,4000,720 x 1600,Android,6.5,5249
Samsung,Galaxy A03,128,4,5,4000,720 x 1600,Android,6.5,5399
Samsung,Galaxy A03,128,4,5,,,Android,6.5,5399
Samsung,Galaxy A03,32,3,5,4000,720 x 1600,Android,6.5,4699
Samsung,Galaxy A73,256,8,32,4000,1080 x 2400,Android,6.7,21999
Oppo,A16K,32,3,5,4000,720 x 1600,Android,6.5,4199
Oppo,A57,64,4,8,4000,720 x 1612,Android,6.5,5799
Samsung,Galaxy A13,64,4,8,4000,1080 x 2408,Android,6.6,5349
Samsung,Galaxy A53,256,8,32,4000,1080 x 2400,Android,6.5,16499
Xiaomi,Redmi 10A,32,2,5,4000,720 x 1600,Android,6.5,3999
Xiaomi,Poco C40,64,4,5,5000,720 x 1650,Android,6.7,5099
Samsung,Galaxy A34,256,8,13,4000,1080x2340,Android,6.6,12199
Samsung,Galaxy A54,256,8,32,4000,1080x2340,Android,6.4,18499
Samsung,Galaxy A24,128,6,13,4000,1080 x 2340,Android,6.5,7523
Honor,X8A,128,8,16,4000,1080 x 2388,Android,6.7,11499
Xiaomi,Redmi 10A,32,2,5,4000,720 x 1600,Android,6.5,3999
Samsung,Galaxy A34,256,8,13,4000,1080x2340,Android,6.6,12199
Nokia,105 (2023),Unidentified,,Not,1000,120 x 160,,1.8,799
realme,10,128,8,16,4000,1080 x 2400,Android,6.4,7195
Vivo,Y02,32,3,5,4000,1600 × 720,Android,6.5,4090
Apple,iPhone 12,128,4,12,2000,1170 x 2532,iOS,6.1,28500
Samsung,Galaxy A53 5G,128,8,32,4000,1080 x 2400,Android,6.5,16499
Samsung,Galaxy A03,128,4,5,,,Android,6.5,5399
Xiaomi,Redmi 10 2022,128,4,8,4000,1080 × 2400,Android,6.5,5999
Oppo,Oppo A16K,64,4,5,4000,720 x 1600,Android,6.5,4749
Xiaomi,Redmi 9A,32,2,5,4000,720 x 1600,Android,6.5,3299
realme,C21Y,32,3,5,4000,720 x 1600,Android,6.5,3749
Vivo,Vivo Y21 64GB,64,4,8,5000,720 x 1600 pixels,Android,6.5,5149
realme,C30,32,2,5,4000,720x1600,Android,6.5,3499
Samsung,Galaxy A03 Core,32,2,5,4000,720 × 1600,Android,6.5,3899
Oppo,Reno 7 5G,256,8,32,4000,1080 x 2400,Android,6.4,12349
Apple,iPhone 12,128,4,12,2000,1170 x 2532,iOS,6.1,30499
Samsung,Galaxy A04,32,3,5,4000,720 x 1600,Android,6.5,4849
Vivo,Y22,64,4,8,4000,720 x 1612,Android,6.5,5998
Xiaomi,Redmi 10A,128,4,5,4000,720 x 1600,Android,6.5,5410
Samsung,Galaxy A04e,64,3,5,4000,720 x 1600,Android,6.5,4300
Samsung,Galaxy S22 Ultra,256,12,40,4000,1440 x 3088,Android,6.8,37999
Oppo,A55,64,4,16,4000,720 x 1600 pixels,Android,6.5,5999
Infinix,Smart 6 HD,32,2,5,4000,720X1600,Android,6.6,3130
Huawei,Nova Y90,128,8,8,5000,1080x2388,EMUI,6.7,8519
Samsung,Galaxy A34,128,8,13,4000,1080 x 2340,Android,6.6,10949
Samsung,Galaxy A24,128,4,13,4000,1080 x 2340,Android,6.5,7099
Apple,iPhone 14 Pro Max,256,6,12,4000,1290 x 2796,iOS,6.7,55499
Honor,X9A,128,8,16,5000,1080 x 2400,Android,6.67,16499
Xiaomi,Redmi 12,256,8,8,4000,2460x1080,Android,6.7,8095
Samsung,Galaxy M52,128,8,32,5000,1080 X 2400,Android,6.7,11999
Oppo,A16,32,3,8,4000,720 x 1600,Android,6.5,4699
Infinix,Smart 6,32,2,5,4000,720 x 1600,Android,6.6,3549
Huawei,Nova 9,128,8,32,4000,1080 x 2400,HarmonyOS,6.5,14373
Samsung,Galaxy A53 5G,256,8,32,4000,1080 x 2400,Android,6.5,17999
realme,Narzo 50A,64,4,8,5000,720 x 1600,Android,6.5,4949
Xiaomi,Redmi 10C,64,4,5,4000,720 x 1650,Android,6.7,5253
Samsung,Galaxy A73,128,8,32,4000,(1080 x 2400),Android,6.7,17599
Samsung,Galaxy A73,128,8,32,4000,(1080 x 2400),Android,6.7,18500
Samsung,Galaxy A73,256,8,32,4000,(1080 x 2400),Android,6.7,21999
Samsung,Galaxy A73,256,8,32,4000,(1080 x 2400),Android,6.7,21999
realme,C11 2021,32,2,5,4000,720 x 1600 pixels,Android,6.5,3415
realme,C11 2021,32,2,5,4000,720 x 1600 pixels,Android,6.5,3449
Xiaomi,Redmi 9C,64,3,5,4000,720x1600 ,Android,6.5,4650
Infinix,Smart 6,64,3,5,4000,720 × 1600,Android,6.6,3799
Samsung,Galaxy Z Flip 5,256,8,10,3000,1080 x 2640,Android,6.7,33550
Samsung,Galaxy A04s,64,4,5,4000,720 × 1600,Android,6.5,4877
Samsung,Galaxy A04s,64,4,5,4000,720 × 1600,Android,6.5,5649
Oppo,Reno7,128,8,32,4000,1080 x 2400,Android,6.4,11999
Vivo,Y02s,32,3,5,4000,720 x 1600,Android,6.5,4050
Oppo,Oppo A54,64,4,16,4000,720 x 1600,Android,6.51,6199
Nokia,G21,128,4,8,5000,720 x 1600,Android,6.5,5649
Samsung,Galaxy S22 Ultra,256,12,40,4000,1440 x 3088,Android,6.8,37999
Vivo,Y73,128,8,16,3000,1080 x 2400,Android,6.4,8400
Infinix,Hot 12,64,4,8,4000,‎720x1612,Android,6.6,4349
Vivo,Y16,64,4,5,4000,720 x 1600,Android,6.5,5440
Infinix,Smart 6 Plus,64,2,8,4000,720 x 1600,Android,6.6,3349
Samsung,Galaxy A14,128,4,13,4000,1080 x 2408,Android,6.6,5899
Apple,iPhone 12,256,4,12,2000,1170 x 2532,iOS,6.1,31499
Samsung,Galaxy A54 5G,128,8,32,4000,1080 x 2340,Android,6.4,17499
Samsung,Galaxy A54,128,8,32,4000,1080 x 2340,Android,6.4,17499
Oppo,A77s,128,8,8,4000,720x1612,Android,6.5,7777
Oppo,Reno 8T,256,8,32,4000,1080 x 2400,Android,6.4,11999
Samsung,Galaxy S23,256,8,12,3000,1080 x 2340,Android,6.1,38999
Huawei,nova 10 SE,256,8,16,4000,1080 x 2400,EMUI,6.6,13899
Huawei,nova 10 SE,256,8,16,4000,1080 x 2400,EMUI,6.6,14699
Samsung,Galaxy A14,64,4,13,4000,1080 x 2408,Android,6.6,5540
Xiaomi,Redmi Note 12S,256,8,16,4000,1080x2400,Android,6.4,10899
Apple,iPhone 14 Pro Max,256,6,12,4000,1290 x 2796,iOS,6.7,54999
Xiaomi,Redmi 12 4G,128,8,8,4000,1080 x 2460,Android,6.7,7349
Samsung,Galaxy A24,128,6,13,4000,1080x2340,Android,6.5,7670
Apple,Iphone 14,128,4,12,3000,1170x2532,iOS,6.1,34999
realme,C51,128,4,5,4000,720 x 1600,Android,6.7,6999
realme,11 Pro Plus,512,12,32,4000,1080 x 2412,Android,6.7,16999
realme,11 Pro Plus,512,12,32,4000,1080 x 2412,Android,6.7,16999
realme,11 Pro Plus,512,12,32,4000,1080 x 2412,Android,6.7,16999
Oppo,A98,256,8,32,4000,1080 x 2412,Android,6.7,12099
Oppo,A98,256,8,32,4000,1080 x 2412,Android,6.7,12099
Xiaomi,Poco X4 Pro,128,6,16,4000,1080 x 2400,Android,6.6,11500
realme,C21Y,64,4,5,4000,720 x 1600,Android,6.5,4359
Xiaomi,Redmi 12 4G,128,8,8,4000,1080 x 2460,Android,6.7,7699
Apple,iPhone 13,128,4,12,3000,1170 x 2532,iOS,6.1,27999
Apple,iPhone 13,128,4,12,3000,1170 x 2532,iOS,6.1,27999
Apple,iPhone 11,128,4,12,3000,1792 × 828,iOS,6.1,24000
Xiaomi,Redmi 12,256,8,8,4000,2460x1080,Android,6.7,8250
Xiaomi,Redmi 12,256,8,8,4000,2460x1080,Android,6.7,8250
Samsung,Galaxy A14,64,4,13,4000,1080 x 2408,Android,6.6,5150
Apple,iPhone 14,128,4,12,3000,1170 x 2532,iOS,6.1,35999
Samsung,Galaxy A32,128,6,20,4000,,Android,6.4,9999
Apple,iPhone 13,128,4,12,3000,1170 x 2532,iOS,6.1,30299
Xiaomi,Redmi 10A,64,3,5,4000,720 × 1600,Android,6.5,4599
Oppo,A16K,64,4,5,,,Android,6.5,5299
Apple,iPhone 11,128,4,12,3000,1792 × 828,iOS,6.1,23350
Honor,X7,128,4,8,4000,1600x720,Android,6.7,6600
Xiaomi,Redmi Note 11,128,6,13,4000,1080 x 2400,Android,6.4,7899
Apple,iPhone 14 Pro,256,6,12,3000,1179 x 2556,iOS,6.1,50400
Samsung,Galaxy A14,128,4,13,4000,1080 x 2408,Android,6.6,5567
Oppo,A96,256,8,16,4000,1080 x 2412,Android,6.5,9299
